holeid,from,to,length,sampleid,samplingtype,Au_ppm,Ag_ppm,Cu_pr,Zn_pr,Depth,Easting,Northing,Elevation
ASDD03,0,2,2,ASDD03-20,CORE,0.025,5,0.0321,,0.00,551007.00,4518569.00,977.00
ASDD03,2,4,2,ASDD03-21,CORE,0.025,5,0.0567,,2.00,551006.85,4518568.48,975.08
ASDD03,4,6,2,ASDD03-22,CORE,0.025,5,0.0319,,4.00,551006.70,4518567.95,973.15
ASDD03,6,8,2,ASDD03-23,CORE,0.025,5,0.0302,,6.00,551006.54,4518567.43,971.23
ASDD03,8,10,2,ASDD03-24,CORE,0.025,5,0.028,,8.00,551006.39,4518566.91,969.30
ASDD03,10,12,2,ASDD03-25,CORE,0.025,5,0.0255,,10.00,551006.24,4518566.39,967.38
ASDD03,12,14,2,ASDD03-26,CORE,0.025,5,0.026,,12.00,551006.09,4518565.86,965.45
ASDD03,14,15.3,1.3,ASDD03-27,CORE,0.025,5,0.0246,,14.00,551005.94,4518565.34,963.53
ASDD03,15.3,17.3,2,ASDD03-28,CORE,0.025,5,0.0352,,15.30,551005.84,4518565.00,962.28
ASDD03,17.3,19.3,2,ASDD03-29,CORE,0.025,5,0.0343,,17.30,551005.69,4518564.48,960.35
ASDD03,19.3,20.5,1.2,ASDD03-30,CORE,0.025,5,0.0243,,19.30,551005.53,4518563.95,958.43
ASDD03,20.5,22.5,2,ASDD03-31,CORE,0.025,5,0.0272,,20.50,551005.44,4518563.64,957.27
ASDD03,22.5,24.5,2,ASDD03-32,CORE,0.025,5,0.0276,,22.50,551005.29,4518563.12,955.35
ASDD03,24.5,26.5,2,ASDD03-33,CORE,0.025,5,0.03,,24.50,551005.14,4518562.59,953.43
ASDD03,26.5,28.3,1.8,ASDD03-34,CORE,0.025,5,0.0251,,26.50,551004.99,4518562.07,951.50
ASDD03,28.3,30.3,2,ASDD03-35,CORE,0.025,5,0.0233,,28.30,551004.85,4518561.60,949.77
ASDD03,30.3,32.3,2,ASDD03-36,CORE,0.025,5,0.0256,,30.30,551004.70,4518561.08,947.84
ASDD03,32.3,34.3,2,ASDD03-37,CORE,0.025,5,0.0246,,32.30,551004.55,4518560.55,945.92
