holeid,depth,x,y,z
ASDD01,0.00,551007.00,4518569.00,977.00
ASDD01,3.00,551006.91,4518568.89,974.00
ASDD01,6.00,551006.82,4518568.78,971.01
ASDD01,9.00,551006.73,4518568.68,968.01
ASDD01,12.00,551006.64,4518568.57,965.01
ASDD01,15.00,551006.55,4518568.46,962.02
ASDD01,18.00,551006.45,4518568.35,959.02
ASDD01,21.00,551006.36,4518568.24,956.02
ASDD01,24.00,551006.27,4518568.13,953.03
ASDD01,27.00,551006.18,4518568.03,950.03
ASDD01,30.00,551006.09,4518567.92,947.03
ASDD01,33.00,551006.00,4518567.81,944.04
ASDD01,36.00,551005.91,4518567.70,941.04
ASDD01,39.00,551005.82,4518567.59,938.04
ASDD01,42.00,551005.73,4518567.48,935.05
ASDD01,45.00,551005.64,4518567.38,932.05
ASDD01,48.00,551005.55,4518567.27,929.05
ASDD01,51.00,551005.46,4518567.16,926.06
ASDD01,54.00,551005.36,4518567.05,923.06
ASDD01,57.00,551005.27,4518566.94,920.06
ASDD01,60.00,551005.18,4518566.83,917.07
ASDD01,63.00,551005.09,4518566.73,914.07
ASDD01,66.00,551005.00,4518566.62,911.07
ASDD01,69.00,551004.91,4518566.51,908.08
ASDD01,72.00,551004.82,4518566.40,905.08
ASDD01,75.00,551004.73,4518566.29,902.08
ASDD01,78.00,551004.64,4518566.19,899.09
ASDD01,81.00,551004.55,4518566.08,896.09
ASDD01,84.00,551004.46,4518565.97,893.09
ASDD01,87.00,551004.37,4518565.86,890.10
ASDD01,90.00,551004.27,4518565.75,887.10
ASDD01,93.00,551004.18,4518565.64,884.10
ASDD01,96.00,551004.09,4518565.54,881.11
ASDD01,99.00,551004.00,4518565.43,878.11
ASDD01,102.00,551003.91,4518565.32,875.11
ASDD01,105.00,551003.82,4518565.21,872.12
ASDD01,108.00,551003.73,4518565.10,869.12
ASDD01,111.00,551003.64,4518564.99,866.12
ASDD01,114.00,551003.55,4518564.89,863.13
ASDD01,117.00,551003.46,4518564.78,860.13
ASDD01,120.00,551003.37,4518564.67,857.13
ASDD01,123.00,551003.28,4518564.56,854.14
ASDD01,126.00,551003.18,4518564.45,851.14
ASDD01,129.00,551003.09,4518564.34,848.14
ASDD01,132.00,551003.00,4518564.24,845.15
ASDD01,135.00,551002.91,4518564.13,842.15
ASDD01,138.00,551002.82,4518564.02,839.15
ASDD01,141.00,551002.73,4518563.91,836.16
ASDD01,144.00,551002.64,4518563.80,833.16
ASDD01,147.00,551002.55,4518563.70,830.16
ASDD01,150.00,551002.46,4518563.59,827.17
ASDD01,153.00,551002.37,4518563.48,824.17
ASDD01,156.00,551002.28,4518563.37,821.17
ASDD01,159.00,551002.19,4518563.26,818.18
ASDD01,162.00,551002.09,4518563.15,815.18
ASDD01,165.00,551002.00,4518563.05,812.18
